report_date,daily_impressions,daily_clicks,daily_spend,daily_conversions,daily_revenue,daily_profit
2026-05-01,95987,3323,4464.99,220,17839.14,13374.15
2026-05-02,99526,3520,4278.08,230,18130.92,13852.84
2026-05-03,92373,3572,4181.8,247,19561.82,15380.02
2026-05-04,92247,3242,4240.9,212,17845.8,13604.9
2026-05-05,97683,3593,4205.48,236,18905.94,14700.46
2026-05-06,92264,3527,4179.07,236,18345.34,14166.27
2026-05-07,92568,3259,4401.58,220,17879.34,13477.76
2026-05-08,101276,3562,4153.83,232,17859.8,13705.97
2026-05-09,90446,3350,4052.7200000000003,229,18087.12,14034.4
2026-05-10,92969,3225,4342.86,213,16943.21,12600.35
2026-05-11,97306,3489,4074.77,229,17715.28,13640.51
2026-05-12,94068,3690,4188.46,254,20002.94,15814.48
2026-05-13,94104,3322,4434.21,218,17806.56,13372.35
2026-05-14,95948,3429,4134.39,227,18059.32,13924.93
2026-05-15,90450,3499,4053.23,245,19686.2,15632.97
2026-05-16,93911,3365,4368.99,223,18378.71,14009.72
2026-05-17,97730,3420,4098.59,219,17012.24,12913.65
2026-05-18,86831,3304,3819.94,226,17605.49,13785.55
2026-05-19,96921,3356,4458.6,224,18183.059999999998,13724.46
2026-05-20,100518,3556,4248.05,227,17484.489999999998,13236.44
2026-05-21,86837,3431,4040.7799999999997,239,18565.84,14525.06
2026-05-22,93183,3275,4365.87,218,17856.329999999998,13490.46
2026-05-23,98676,3631,4203.0599999999995,241,18980.48,14777.42
2026-05-24,93169,3560,4119.68,237,18861.739999999998,14742.06
2026-05-25,89443,3097,4163.6,205,17121.620000000003,12958.02
2026-05-26,102266,3596,4247.91,237,18286.79,14038.88
2026-05-27,91351,3383,4075.26,234,18551.64,14476.38
2026-05-28,93904,3258,4303.14,210,17077.59,12774.45
2026-05-29,98298,3524,4175.52,227,17558.94,13383.42
2026-05-30,90113,3631,4139.91,250,19162.32,15022.41
