record_id,report_date,campaign_name,channel,device,impressions,clicks,spend,conversions,revenue,ctr_percentage,conversion_rate_percentage,roas,profit
1,2026-05-01,Summer Sale,Google Ads,Mobile,15428,689,1093.86,50,3744.0,4.47,7.26,3.42,2650.14
2,2026-05-01,Brand Awareness,Facebook,Tablet,16229,436,466.17,18,1222.2,2.69,4.13,2.62,756.03
3,2026-05-01,Back to School,Instagram,Desktop,19695,688,853.12,41,3013.5,3.49,5.96,3.53,2160.38
4,2026-05-01,B2B Lead Generation,LinkedIn,Mobile,8387,181,758.66,16,2851.2,2.16,8.84,3.76,2092.54
5,2026-05-01,Email Retargeting,Email,Tablet,6548,765,218.48,73,4964.0,11.68,9.54,22.72,4745.52
6,2026-05-01,Product Launch,YouTube,Desktop,29700,564,1074.7,22,2044.24,1.9,3.9,1.9,969.54
7,2026-05-02,Summer Sale,Google Ads,Tablet,10649,480,777.6,35,2648.1,4.51,7.29,3.41,1870.5
8,2026-05-02,Brand Awareness,Facebook,Desktop,24150,656,715.56,27,1852.2,2.72,4.12,2.59,1136.64
9,2026-05-02,Back to School,Instagram,Mobile,23587,832,1052.31,50,3712.5,3.53,6.01,3.53,2660.19
10,2026-05-02,B2B Lead Generation,LinkedIn,Tablet,5754,125,534.31,12,2160.0,2.17,9.6,4.04,1625.69
11,2026-05-02,Email Retargeting,Email,Desktop,7565,893,240.04,87,5975.16,11.8,9.74,24.89,5735.12
12,2026-05-02,Product Launch,YouTube,Mobile,27821,534,958.26,19,1782.96,1.92,3.56,1.86,824.7
13,2026-05-03,Summer Sale,Google Ads,Desktop,15805,721,1191.38,53,4051.32,4.56,7.35,3.4,2859.94
14,2026-05-03,Brand Awareness,Facebook,Mobile,28851,792,881.02,33,2286.9,2.75,4.17,2.6,1405.88
15,2026-05-03,Back to School,Instagram,Tablet,12636,450,535.68,27,2025.0,3.56,6.0,3.78,1489.32
16,2026-05-03,B2B Lead Generation,LinkedIn,Desktop,6696,147,591.75,14,2545.2,2.2,9.52,4.3,1953.45
17,2026-05-03,Email Retargeting,Email,Mobile,9139,1089,298.82,107,7421.52,11.92,9.83,24.84,7122.7
18,2026-05-03,Product Launch,YouTube,Tablet,19246,373,683.15,13,1231.88,1.94,3.49,1.8,548.73
19,2026-05-04,Summer Sale,Google Ads,Mobile,14778,681,1059.09,51,3938.22,4.61,7.49,3.72,2879.13
20,2026-05-04,Brand Awareness,Facebook,Tablet,15566,431,451.52,18,1260.0,2.77,4.18,2.79,808.48
21,2026-05-04,Back to School,Instagram,Desktop,18915,681,827.55,42,3181.5,3.6,6.17,3.84,2353.95
22,2026-05-04,B2B Lead Generation,LinkedIn,Mobile,8064,179,735.42,17,3121.2,2.22,9.5,4.24,2385.78
23,2026-05-04,Email Retargeting,Email,Tablet,6304,759,212.52,66,4622.64,12.04,8.7,21.75,4410.12
24,2026-05-04,Product Launch,YouTube,Desktop,28620,511,954.8,18,1722.24,1.79,3.52,1.8,767.44
25,2026-05-05,Summer Sale,Google Ads,Tablet,10231,476,755.7,36,2808.0,4.65,7.56,3.72,2052.3
26,2026-05-05,Brand Awareness,Facebook,Desktop,23230,650,694.98,28,1979.6,2.8,4.31,2.85,1284.62
27,2026-05-05,Back to School,Instagram,Mobile,22714,826,1024.24,51,3901.5,3.64,6.17,3.81,2877.26
28,2026-05-05,B2B Lead Generation,LinkedIn,Tablet,5547,124,519.75,12,2224.8,2.24,9.68,4.28,1705.05
29,2026-05-05,Email Retargeting,Email,Desktop,9350,1037,296.17,92,6506.24,11.09,8.87,21.97,6210.07
30,2026-05-05,Product Launch,YouTube,Mobile,26611,480,914.64,17,1485.8,1.8,3.54,1.62,571.16
31,2026-05-06,Summer Sale,Google Ads,Desktop,15225,716,1159.92,55,4332.9,4.7,7.68,3.74,3172.98
32,2026-05-06,Brand Awareness,Facebook,Mobile,27821,787,858.46,34,2427.6,2.83,4.32,2.83,1569.14
33,2026-05-06,Back to School,Instagram,Tablet,15584,572,723.47,36,2781.0,3.67,6.29,3.84,2057.53
34,2026-05-06,B2B Lead Generation,LinkedIn,Desktop,6408,133,568.51,11,2059.2,2.08,8.27,3.62,1490.69
35,2026-05-06,Email Retargeting,Email,Mobile,8758,982,263.96,88,5684.8,11.21,8.96,21.54,5420.84
36,2026-05-06,Product Launch,YouTube,Tablet,18468,337,604.75,12,1059.84,1.82,3.56,1.75,455.09
37,2026-05-07,Summer Sale,Google Ads,Mobile,18189,863,1426.02,67,5330.52,4.74,7.76,3.74,3904.5
38,2026-05-07,Brand Awareness,Facebook,Tablet,14904,426,473.88,19,1369.9,2.86,4.46,2.89,896.02
39,2026-05-07,Back to School,Instagram,Desktop,18135,614,730.91,39,3042.0,3.39,6.35,4.16,2311.09
40,2026-05-07,B2B Lead Generation,LinkedIn,Mobile,7741,162,652.13,14,2394.0,2.09,8.64,3.67,1741.87
41,2026-05-07,Email Retargeting,Email,Tablet,6059,686,188.24,62,4047.36,11.32,9.04,21.5,3859.12
42,2026-05-07,Product Launch,YouTube,Desktop,27540,508,930.4,19,1695.56,1.84,3.74,1.82,765.16
43,2026-05-08,Summer Sale,Google Ads,Tablet,9814,470,730.94,37,2972.58,4.79,7.87,4.07,2241.64
44,2026-05-08,Brand Awareness,Facebook,Desktop,22310,587,614.94,26,1892.8,2.63,4.43,3.08,1277.86
45,2026-05-08,Back to School,Instagram,Mobile,21840,747,907.75,42,2992.5,3.42,5.62,3.3,2084.75
46,2026-05-08,B2B Lead Generation,LinkedIn,Tablet,5340,113,464.26,10,1728.0,2.12,8.85,3.72,1263.74
47,2026-05-08,Email Retargeting,Email,Desktop,9010,1031,288.68,94,6200.24,11.44,9.12,21.48,5911.56
48,2026-05-08,Product Launch,YouTube,Mobile,32962,614,1147.26,23,2073.68,1.86,3.75,1.81,926.42
49,2026-05-09,Summer Sale,Google Ads,Desktop,14645,647,1027.18,51,4137.12,4.42,7.88,4.03,3109.94
50,2026-05-09,Brand Awareness,Facebook,Mobile,26790,713,762.34,32,2128.0,2.66,4.49,2.79,1365.66
51,2026-05-09,Back to School,Instagram,Tablet,15023,519,643.56,29,2088.0,3.45,5.59,3.24,1444.44
52,2026-05-09,B2B Lead Generation,LinkedIn,Desktop,7920,169,708.36,15,2619.0,2.13,8.88,3.7,1910.64
53,2026-05-09,Email Retargeting,Email,Mobile,8378,969,276.75,89,5930.96,11.57,9.18,21.43,5654.21
54,2026-05-09,Product Launch,YouTube,Tablet,17690,333,634.53,13,1184.04,1.88,3.9,1.87,549.51
55,2026-05-10,Summer Sale,Google Ads,Mobile,17539,783,1268.46,62,4594.2,4.46,7.92,3.62,3325.74
56,2026-05-10,Brand Awareness,Facebook,Tablet,18382,494,538.86,20,1344.0,2.69,4.05,2.49,805.14
57,2026-05-10,Back to School,Instagram,Desktop,17355,606,766.47,35,2546.25,3.49,5.78,3.32,1779.78
58,2026-05-10,B2B Lead Generation,LinkedIn,Mobile,7419,160,683.92,14,2469.6,2.16,8.75,3.61,1785.68
59,2026-05-10,Email Retargeting,Email,Tablet,5814,679,182.52,63,4241.16,11.68,9.28,23.24,4058.64
60,2026-05-10,Product Launch,YouTube,Desktop,26460,503,902.63,19,1748.0,1.9,3.78,1.94,845.37
61,2026-05-11,Summer Sale,Google Ads,Tablet,9396,424,700.62,34,2545.92,4.51,8.02,3.63,1845.3
62,2026-05-11,Brand Awareness,Facebook,Desktop,21390,581,646.3,23,1561.7,2.72,3.96,2.42,915.4
63,2026-05-11,Back to School,Instagram,Mobile,20966,740,880.9,43,3160.5,3.53,5.81,3.59,2279.6
64,2026-05-11,B2B Lead Generation,LinkedIn,Tablet,5132,112,450.86,10,1782.0,2.18,8.93,3.95,1331.14
65,2026-05-11,Email Retargeting,Email,Desktop,8670,1023,280.71,96,6528.0,11.8,9.38,23.26,6247.29
66,2026-05-11,Product Launch,YouTube,Mobile,31752,609,1115.38,23,2137.16,1.92,3.78,1.92,1021.78
67,2026-05-12,Summer Sale,Google Ads,Desktop,14065,641,996.88,46,3480.36,4.56,7.18,3.49,2483.48
68,2026-05-12,Brand Awareness,Facebook,Mobile,25760,707,740.65,29,1989.4,2.74,4.1,2.69,1248.75
69,2026-05-12,Back to School,Instagram,Tablet,14461,515,625.83,30,2227.5,3.56,5.83,3.56,1601.67
